code,name,slug,constituency_code,constituency_name,county_code,county_name,sub_county,aliases
70,Rabai/Kisurutini,rabai-kisurutini,14,Rabai,3,Kilifi,rabai,
71,Ganze,ganze,15,Ganze,3,Kilifi,ganze,
72,Bamba,bamba,15,Ganze,3,Kilifi,ganze,
73,Jaribuni,jaribuni,15,Ganze,3,Kilifi,ganze,
74,Sokoke,sokoke,15,Ganze,3,Kilifi,ganze,
75,Jilore,jilore,16,Malindi,3,Kilifi,malindi,
76,Kakuyuni,kakuyuni,16,Malindi,3,Kilifi,malindi,
77,Ganda,ganda,16,Malindi,3,Kilifi,malindi,
78,Malindi Town,malindi-town,16,Malindi,3,Kilifi,malindi,
79,Shella,shella,16,Malindi,3,Kilifi,malindi,
80,Marafa,marafa,17,Magarini,3,Kilifi,magarini,
81,Magarini,magarini,17,Magarini,3,Kilifi,magarini,
82,Gongoni,gongoni,17,Magarini,3,Kilifi,magarini,
83,Adu,adu,17,Magarini,3,Kilifi,magarini,
84,Garashi,garashi,17,Magarini,3,Kilifi,magarini,
85,Sabaki,sabaki,17,Magarini,3,Kilifi,magarini,
86,Kipini East,kipini-east,18,Garsen,4,Tana River,garsen,
87,Garsen South,garsen-south,18,Garsen,4,Tana River,garsen,
88,Kipini West,kipini-west,18,Garsen,4,Tana River,garsen,
89,Garsen Central,garsen-central,18,Garsen,4,Tana River,garsen,
90,Garsen West,garsen-west,18,Garsen,4,Tana River,garsen,
91,Garsen North,garsen-north,18,Garsen,4,Tana River,garsen,
92,Kinakomba,kinakomba,19,Galole,4,Tana River,galole,
93,Mikinduni,mikinduni,19,Galole,4,Tana River,galole,
94,Chewani,chewani,19,Galole,4,Tana River,galole,
95,Wayu,wayu,19,Galole,4,Tana River,galole,
96,Chewele,chewele,20,Bura,4,Tana River,bura,
97,Bura,bura,20,Bura,4,Tana River,,
98,Bangale,bangale,20,Bura,4,Tana River,bura,
99,Sala,sala,20,Bura,4,Tana River,bura,
100,Madogo,madogo,20,Bura,4,Tana River,bura,
101,Faza,faza,21,Lamu East,5,Lamu,lamu-east,
102,Kiunga,kiunga,21,Lamu East,5,Lamu,lamu-east,
103,Basuba,basuba,21,Lamu East,5,Lamu,lamu-east,
104,Shella,shella,22,Lamu West,5,Lamu,lamu-west,
105,Mkomani,mkomani,22,Lamu West,5,Lamu,lamu-west,
106,Hindi,hindi,22,Lamu West,5,Lamu,lamu-west,
107,Mkunumbi,mkunumbi,22,Lamu West,5,Lamu,lamu-west,
108,Hongwe,hongwe,22,Lamu West,5,Lamu,lamu-west,
109,Witu,witu,22,Lamu West,5,Lamu,lamu-west,
110,Bahari,bahari,22,Lamu West,5,Lamu,lamu-west,
111,Chala,chala,23,Taveta,6,Taita-Taveta,taveta,
112,Mahoo,mahoo,23,Taveta,6,Taita-Taveta,taveta,
113,Bomeni,bomeni,23,Taveta,6,Taita-Taveta,taveta,Bomani
114,Mboghoni,mboghoni,23,Taveta,6,Taita-Taveta,taveta,
115,Mata,mata,23,Taveta,6,Taita-Taveta,taveta,
116,Wundanyi/Mbale,wundanyi-mbale,24,Wundanyi,6,Taita-Taveta,wundanyi,
117,Werugha,werugha,24,Wundanyi,6,Taita-Taveta,wundanyi,
118,Wumingu/Kishushe,wumingu-kishushe,24,Wundanyi,6,Taita-Taveta,wundanyi,
119,Mwanda/Mgange,mwanda-mgange,24,Wundanyi,6,Taita-Taveta,wundanyi,
120,Rong'e,ronge,25,Mwatate,6,Taita-Taveta,mwatate,
121,Mwatate,mwatate,25,Mwatate,6,Taita-Taveta,mwatate,
122,Bura,bura,25,Mwatate,6,Taita-Taveta,mwatate,
123,Chawia,chawia,25,Mwatate,6,Taita-Taveta,mwatate,
124,Wusi/Kishamba,wusi-kishamba,25,Mwatate,6,Taita-Taveta,mwatate,
125,Mbololo,mbololo,26,Voi,6,Taita-Taveta,voi,
126,Sagalla,sagalla,26,Voi,6,Taita-Taveta,voi,
127,Kaloleni,kaloleni,26,Voi,6,Taita-Taveta,voi,
128,Marungu,marungu,26,Voi,6,Taita-Taveta,voi,
129,Kasigau,kasigau,26,Voi,6,Taita-Taveta,voi,
130,Ngolia,ngolia,26,Voi,6,Taita-Taveta,voi,
131,Waberi,waberi,27,Garissa Township,7,Garissa,garissa,
132,Galbet,galbet,27,Garissa Township,7,Garissa,garissa,
133,Township,township,27,Garissa Township,7,Garissa,garissa,
134,Iftin,iftin,27,Garissa Township,7,Garissa,garissa,
135,Balambala,balambala,28,Balambala,7,Garissa,balambala,
136,Danyere,danyere,28,Balambala,7,Garissa,balambala,
137,Jara Jara,jara-jara,28,Balambala,7,Garissa,balambala,
138,Saka,saka,28,Balambala,7,Garissa,balambala,
139,Sankuri,sankuri,28,Balambala,7,Garissa,garissa,
140,Modogashe,modogashe,29,Lagdera,7,Garissa,lagdera,
141,Benane,benane,29,Lagdera,7,Garissa,lagdera,
142,Goreale,goreale,29,Lagdera,7,Garissa,lagdera,
143,Maalimin,maalimin,29,Lagdera,7,Garissa,lagdera,
144,Sabena,sabena,29,Lagdera,7,Garissa,lagdera,
145,Baraki,baraki,29,Lagdera,7,Garissa,lagdera,
146,Dertu,dertu,30,Dadaab,7,Garissa,dadaab,
147,Dadaab,dadaab,30,Dadaab,7,Garissa,dadaab,
148,Labasigale,labasigale,30,Dadaab,7,Garissa,dadaab,
149,Damajale,damajale,30,Dadaab,7,Garissa,dadaab,
150,Liboi,liboi,30,Dadaab,7,Garissa,dadaab,
151,Abakaile,abakaile,30,Dadaab,7,Garissa,dadaab,
152,Bura,bura,31,Fafi,7,Garissa,fafi,
153,Dekaharia,dekaharia,31,Fafi,7,Garissa,fafi,
154,Jarajila,jarajila,31,Fafi,7,Garissa,fafi,
155,Fafi,fafi,31,Fafi,7,Garissa,fafi,
156,Nanighi,nanighi,31,Fafi,7,Garissa,fafi,
157,Hulugho,hulugho,32,Ijara,7,Garissa,hulugho,
158,Sangailu,sangailu,32,Ijara,7,Garissa,hulugho,
159,Ijara,ijara,32,Ijara,7,Garissa,ijara,
160,Masalani,masalani,32,Ijara,7,Garissa,ijara,
161,Gurar,gurar,33,Wajir North,8,Wajir,wajir-north,
162,Bute,bute,33,Wajir North,8,Wajir,wajir-north,
163,Korondile,korondile,33,Wajir North,8,Wajir,wajir-north,
164,Malkagufu,malkagufu,33,Wajir North,8,Wajir,wajir-north,
165,Batalu,batalu,33,Wajir North,8,Wajir,wajir-north,
166,Danaba,danaba,33,Wajir North,8,Wajir,wajir-north,
167,Godoma,godoma,33,Wajir North,8,Wajir,wajir-north,
168,Wagberi,wagberi,34,Wajir East,8,Wajir,wajir-east,
169,Township,township,34,Wajir East,8,Wajir,wajir-east,
170,Barwago,barwago,34,Wajir East,8,Wajir,wajir-east,
171,Khorof/Harar,khorof-harar,34,Wajir East,8,Wajir,wajir-east,
172,Elben,elben,35,Tarbaj,8,Wajir,tarbaj,
173,Sarman,sarman,35,Tarbaj,8,Wajir,tarbaj,
174,Tarbaj,tarbaj,35,Tarbaj,8,Wajir,tarbaj,
175,Wargadud,wargadud,35,Tarbaj,8,Wajir,tarbaj,
176,Arbajahan,arbajahan,36,Wajir West,8,Wajir,wajir-west,
177,Hadado/Athibohol,hadado-athibohol,36,Wajir West,8,Wajir,wajir-west,
178,Ademasajide,ademasajide,36,Wajir West,8,Wajir,wajir-west,Adamasajide
179,Wagalla/Ganyure,wagalla-ganyure,36,Wajir West,8,Wajir,wajir-west,Ganyure/Wagalla
180,Eldas,eldas,37,Eldas,8,Wajir,eldas,
181,Della,della,37,Eldas,8,Wajir,eldas,
182,Lakoley South/Basir,lakoley-south-basir,37,Eldas,8,Wajir,eldas,
183,Elnur/Tula Tula,elnur-tula-tula,37,Eldas,8,Wajir,eldas,
184,Benane,benane,38,Wajir South,8,Wajir,wajir-south,
185,Burder,burder,38,Wajir South,8,Wajir,wajir-south,
186,Dadaja Bulla,dadaja-bulla,38,Wajir South,8,Wajir,wajir-south,
187,Habasswein,habasswein,38,Wajir South,8,Wajir,wajir-south,
188,Lagboghol South,lagboghol-south,38,Wajir South,8,Wajir,wajir-south,
189,Ibrahim Ure,ibrahim-ure,38,Wajir South,8,Wajir,wajir-south,
190,Diif,diif,38,Wajir South,8,Wajir,wajir-south,
191,Takaba South,takaba-south,39,Mandera West,9,Mandera,mandera-west,
192,Takaba,takaba,39,Mandera West,9,Mandera,mandera-west,
193,Lag Sure,lag-sure,39,Mandera West,9,Mandera,mandera-west,
194,Dandu,dandu,39,Mandera West,9,Mandera,mandera-west,
195,Gither,gither,39,Mandera West,9,Mandera,mandera-west,
196,Banissa,banissa,40,Banissa,9,Mandera,banissa,
197,Derkhale,derkhale,40,Banissa,9,Mandera,banissa,
198,Guba,guba,40,Banissa,9,Mandera,banissa,
199,Malkamari,malkamari,40,Banissa,9,Mandera,banissa,
200,Kiliwehiri,kiliwehiri,40,Banissa,9,Mandera,banissa,
201,Ashabito,ashabito,41,Mandera North,9,Mandera,mandera-north,
202,Guticha,guticha,41,Mandera North,9,Mandera,mandera-north,
203,Morothile,morothile,41,Mandera North,9,Mandera,mandera-north,
204,Rhamu,rhamu,41,Mandera North,9,Mandera,mandera-north,
205,Rhamu-Dimtu,rhamu-dimtu,41,Mandera North,9,Mandera,mandera-north,
206,Wargudud,wargudud,42,Mandera South,9,Mandera,mandera-south,Wargadud
207,Kutulo,kutulo,42,Mandera South,9,Mandera,mandera-south,
208,Elwak South,elwak-south,42,Mandera South,9,Mandera,mandera-south,
209,Elwak North,elwak-north,42,Mandera South,9,Mandera,mandera-south,
210,Shimbir Fatuma,shimbir-fatuma,42,Mandera South,9,Mandera,mandera-south,
211,Arabia,arabia,43,Mandera East,9,Mandera,mandera-east,
212,Bulla Mpya,bulla-mpya,43,Mandera East,9,Mandera,mandera-east,
213,Khalalio,khalalio,43,Mandera East,9,Mandera,mandera-east,
214,Neboi,neboi,43,Mandera East,9,Mandera,mandera-east,
215,Township,township,43,Mandera East,9,Mandera,mandera-east,
216,Libehia,libehia,44,Lafey,9,Mandera,lafey,
217,Fino,fino,44,Lafey,9,Mandera,lafey,
218,Lafey,lafey,44,Lafey,9,Mandera,lafey,
219,Warankara,warankara,44,Lafey,9,Mandera,lafey,Waranqara
220,Alungo Gof,alungo-gof,44,Lafey,9,Mandera,lafey,Alango Gof
221,Butiye,butiye,45,Moyale,10,Marsabit,moyale,
222,Sololo,sololo,45,Moyale,10,Marsabit,moyale,
223,Heilu-Manyatta,heilu-manyatta,45,Moyale,10,Marsabit,moyale,Heillu/Manyatta
224,Golbo,golbo,45,Moyale,10,Marsabit,moyale,
225,Moyale Township,moyale-township,45,Moyale,10,Marsabit,moyale,
226,Uran,uran,45,Moyale,10,Marsabit,moyale,
227,Obbu,obbu,45,Moyale,10,Marsabit,moyale,
228,Illeret,illeret,46,North Horr,10,Marsabit,north-horr,
229,North Horr,north-horr,46,North Horr,10,Marsabit,north-horr,
230,Dukana,dukana,46,North Horr,10,Marsabit,north-horr,
231,Maikona,maikona,46,North Horr,10,Marsabit,north-horr,
232,Turbi,turbi,46,North Horr,10,Marsabit,north-horr,
233,Sagante/Jaldesa,sagante-jaldesa,47,Saku,10,Marsabit,saku,
234,Karare,karare,47,Saku,10,Marsabit,saku,
235,Marsabit Central,marsabit-central,47,Saku,10,Marsabit,saku,
236,Loiyangalani,loiyangalani,48,Laisamis,10,Marsabit,laisamis,
237,Kargi/South Horr,kargi-south-horr,48,Laisamis,10,Marsabit,laisamis,
238,Korr/Ngurunit,korr-ngurunit,48,Laisamis,10,Marsabit,laisamis,
239,Log Logo,log-logo,48,Laisamis,10,Marsabit,laisamis,Logo Logo
240,Laisamis,laisamis,48,Laisamis,10,Marsabit,laisamis,
241,Wabera,wabera,49,Isiolo North,11,Isiolo,isiolo,
242,Bulla Pesa,bulla-pesa,49,Isiolo North,11,Isiolo,isiolo,
243,Chari,chari,49,Isiolo North,11,Isiolo,merti,
244,Cherab,cherab,49,Isiolo North,11,Isiolo,merti,
245,Ngare Mara,ngare-mara,49,Isiolo North,11,Isiolo,isiolo,
246,Burat,burat,49,Isiolo North,11,Isiolo,isiolo,
247,Oldonyiro,oldonyiro,49,Isiolo North,11,Isiolo,isiolo,
248,Garbatulla,garbatulla,50,Isiolo South,11,Isiolo,garbatulla,
249,Kinna,kinna,50,Isiolo South,11,Isiolo,garbatulla,
250,Sericho,sericho,50,Isiolo South,11,Isiolo,garbatulla,
251,Maua,maua,51,Igembe South,12,Meru,igembe-south,
252,Kiegoi/Antubochiu,kiegoi-antubochiu,51,Igembe South,12,Meru,igembe-south,
253,Athiru Gaiti,athiru-gaiti,51,Igembe South,12,Meru,igembe-south,
254,Akachiu,akachiu,51,Igembe South,12,Meru,igembe-south,
255,Kanuni,kanuni,51,Igembe South,12,Meru,igembe-south,
256,Akirang'ondu,akirangondu,52,Igembe Central,12,Meru,igembe-central,
257,Athiru Ruujine,athiru-ruujine,52,Igembe Central,12,Meru,igembe-central,
258,Igembe East,igembe-east,52,Igembe Central,12,Meru,igembe-central,
259,Njia,njia,52,Igembe Central,12,Meru,igembe-central,
260,Kangeta,kangeta,52,Igembe Central,12,Meru,igembe-central,
261,Antuambui,antuambui,53,Igembe North,12,Meru,igembe-north,
262,Ntunene,ntunene,53,Igembe North,12,Meru,igembe-north,
263,Antubetwe Kiongo,antubetwe-kiongo,53,Igembe North,12,Meru,igembe-north,
264,Naathu,naathu,53,Igembe North,12,Meru,igembe-north,
265,Amwathi,amwathi,53,Igembe North,12,Meru,igembe-north,
266,Athwana,athwana,54,Tigania West,12,Meru,tigania-west,
267,Akithii,akithii,54,Tigania West,12,Meru,tigania-west,
268,Kianjai,kianjai,54,Tigania West,12,Meru,tigania-west,
269,Nkomo,nkomo,54,Tigania West,12,Meru,tigania-west,
270,Mbeu,mbeu,54,Tigania West,12,Meru,tigania-west,
271,Thangatha,thangatha,55,Tigania East,12,Meru,tigania-east,
272,Mikinduri,mikinduri,55,Tigania East,12,Meru,tigania-east,
273,Kiguchwa,kiguchwa,55,Tigania East,12,Meru,tigania-east,
274,Muthara,muthara,55,Tigania East,12,Meru,tigania-east,
275,Karama,karama,55,Tigania East,12,Meru,tigania-east,
276,Municipality,municipality,56,North Imenti,12,Meru,imenti-north,
277,Ntima East,ntima-east,56,North Imenti,12,Meru,imenti-north,
278,Ntima West,ntima-west,56,North Imenti,12,Meru,imenti-north,
279,Nyaki West,nyaki-west,56,North Imenti,12,Meru,imenti-north,
280,Nyaki East,nyaki-east,56,North Imenti,12,Meru,imenti-north,
281,Timau,timau,57,Buuri,12,Meru,buuri,
282,Kisima,kisima,57,Buuri,12,Meru,buuri,
283,Kiirua/Naari,kiirua-naari,57,Buuri,12,Meru,buuri,
284,Ruiri/Rwarera,ruiri-rwarera,57,Buuri,12,Meru,buuri,
285,Kibirichia,kibirichia,57,Buuri,12,Meru,buuri,
286,Mwanganthia,mwanganthia,58,Central Imenti,12,Meru,imenti-central,
287,Abothuguchi Central,abothuguchi-central,58,Central Imenti,12,Meru,imenti-central,
288,Abothuguchi West,abothuguchi-west,58,Central Imenti,12,Meru,imenti-central,
289,Kiagu,kiagu,58,Central Imenti,12,Meru,imenti-central,
290,Mitunguu,mitunguu,59,South Imenti,12,Meru,imenti-south,
291,Igoji East,igoji-east,59,South Imenti,12,Meru,imenti-south,
292,Igoji West,igoji-west,59,South Imenti,12,Meru,imenti-south,
293,Abogeta East,abogeta-east,59,South Imenti,12,Meru,imenti-south,
294,Abogeta West,abogeta-west,59,South Imenti,12,Meru,imenti-south,
295,Nkuene,nkuene,59,South Imenti,12,Meru,imenti-south,
296,Mitheru,mitheru,60,Maara,13,Tharaka-Nithi,muthambi,
297,Muthambi,muthambi,60,Maara,13,Tharaka-Nithi,muthambi,
298,Mwimbi,mwimbi,60,Maara,13,Tharaka-Nithi,mwimbi,
299,Ganga,ganga,60,Maara,13,Tharaka-Nithi,mwimbi,
300,Chogoria,chogoria,60,Maara,13,Tharaka-Nithi,mwimbi,
301,Mariani,mariani,61,Chuka/Igambang'ombe,13,Tharaka-Nithi,igambangombe,
302,Karingani,karingani,61,Chuka/Igambang'ombe,13,Tharaka-Nithi,chuka,
303,Magumoni,magumoni,61,Chuka/Igambang'ombe,13,Tharaka-Nithi,chuka,
304,Mugwe,mugwe,61,Chuka/Igambang'ombe,13,Tharaka-Nithi,chuka,
305,Igambang'ombe,igambangombe,61,Chuka/Igambang'ombe,13,Tharaka-Nithi,igambangombe,
306,Gatunga,gatunga,62,Tharaka,13,Tharaka-Nithi,tharaka-north,
307,Mukothima,mukothima,62,Tharaka,13,Tharaka-Nithi,tharaka-north,
308,Nkondi,nkondi,62,Tharaka,13,Tharaka-Nithi,tharaka-south,
309,Chiakariga,chiakariga,62,Tharaka,13,Tharaka-Nithi,tharaka-south,
310,Marimanti,marimanti,62,Tharaka,13,Tharaka-Nithi,tharaka-south,
311,Ruguru/Ngandori,ruguru-ngandori,63,Manyatta,14,Embu,manyatta,
312,Kithimu,kithimu,63,Manyatta,14,Embu,manyatta,
313,Nginda,nginda,63,Manyatta,14,Embu,manyatta,
314,Mbeti North,mbeti-north,63,Manyatta,14,Embu,manyatta,
315,Kirimari,kirimari,63,Manyatta,14,Embu,manyatta,
316,Gaturi South,gaturi-south,63,Manyatta,14,Embu,manyatta,
317,Gaturi North,gaturi-north,64,Runyenjes,14,Embu,manyatta,
318,Kagaari South,kagaari-south,64,Runyenjes,14,Embu,runyenjes,
319,Central Ward,central-ward,64,Runyenjes,14,Embu,runyenjes,
320,Kagaari North,kagaari-north,64,Runyenjes,14,Embu,runyenjes,
321,Kyeni North,kyeni-north,64,Runyenjes,14,Embu,runyenjes,
322,Kyeni South,kyeni-south,64,Runyenjes,14,Embu,runyenjes,
323,Mwea,mwea,65,Mbeere South,14,Embu,mbeere-south,
324,Makima,makima,65,Mbeere South,14,Embu,mbeere-south,
325,Mbeti South,mbeti-south,65,Mbeere South,14,Embu,mbeere-south,
326,Mavuria,mavuria,65,Mbeere South,14,Embu,mbeere-south,
327,Kiambere,kiambere,65,Mbeere South,14,Embu,mbeere-south,
328,Nthawa,nthawa,66,Mbeere North,14,Embu,mbeere-north,
329,Muminji,muminji,66,Mbeere North,14,Embu,mbeere-north,
330,Evurore,evurore,66,Mbeere North,14,Embu,mbeere-north,
331,Ngomeni,ngomeni,67,Mwingi North,15,Kitui,mwingi-north,
332,Kyuso,kyuso,67,Mwingi North,15,Kitui,mwingi-north,
333,Mumoni,mumoni,67,Mwingi North,15,Kitui,mwingi-north,
334,Tseikuru,tseikuru,67,Mwingi North,15,Kitui,mwingi-north,
335,Tharaka,tharaka,67,Mwingi North,15,Kitui,mwingi-north,
336,Kyome/Thaana,kyome-thaana,68,Mwingi West,15,Kitui,mwingi-west,
337,Nguutani,nguutani,68,Mwingi West,15,Kitui,mwingi-west,
338,Migwani,migwani,68,Mwingi West,15,Kitui,mwingi-west,
339,Kiomo/Kyethani,kiomo-kyethani,68,Mwingi West,15,Kitui,mwingi-west,
340,Central,central,69,Mwingi Central,15,Kitui,mwingi-central-sub-county,
341,Kivou,kivou,69,Mwingi Central,15,Kitui,mwingi-central-sub-county,
342,Nguni,nguni,69,Mwingi Central,15,Kitui,mwingi-central-sub-county,
343,Nuu,nuu,69,Mwingi Central,15,Kitui,mwingi-central-sub-county,
344,Mui,mui,69,Mwingi Central,15,Kitui,mwingi-central-sub-county,
345,Waita,waita,69,Mwingi Central,15,Kitui,mwingi-central-sub-county,
346,Mutonguni,mutonguni,70,Kitui West,15,Kitui,kitui-west,
347,Kauwi,kauwi,70,Kitui West,15,Kitui,kitui-west,
348,Matinyani,matinyani,70,Kitui West,15,Kitui,kitui-west,
349,Kwa Mutonga/Kithumula,kwa-mutonga-kithumula,70,Kitui West,15,Kitui,kitui-west,
350,Kisasi,kisasi,71,Kitui Rural,15,Kitui,kitui-rural,
351,Mbitini,mbitini,71,Kitui Rural,15,Kitui,kitui-rural,
352,Kwavonza/Yatta,kwavonza-yatta,71,Kitui Rural,15,Kitui,kitui-rural,
353,Kanyangi,kanyangi,71,Kitui Rural,15,Kitui,kitui-rural,
354,Miambani,miambani,72,Kitui Central,15,Kitui,kitui-central,
355,Township,township,72,Kitui Central,15,Kitui,kitui-central,
356,Kyangwithya West,kyangwithya-west,72,Kitui Central,15,Kitui,kitui-central,
357,Mulango,mulango,72,Kitui Central,15,Kitui,kitui-central,
358,Kyangwithya East,kyangwithya-east,72,Kitui Central,15,Kitui,kitui-central,
359,Zombe/Mwitika,zombe-mwitika,73,Kitui East,15,Kitui,kitui-east,
360,Chuluni,chuluni,73,Kitui East,15,Kitui,kitui-east,
361,Nzambani,nzambani,73,Kitui East,15,Kitui,kitui-east,
362,Voo/Kyamatu,voo-kyamatu,73,Kitui East,15,Kitui,kitui-east,
363,Endau/Malalani,endau-malalani,73,Kitui East,15,Kitui,kitui-east,
364,Mutito/Kaliku,mutito-kaliku,73,Kitui East,15,Kitui,kitui-east,
365,Ikanga/Kyatune,ikanga-kyatune,74,Kitui South,15,Kitui,kitui-south,
366,Mutomo,mutomo,74,Kitui South,15,Kitui,kitui-south,
367,Mutha,mutha,74,Kitui South,15,Kitui,kitui-south,
368,Ikutha,ikutha,74,Kitui South,15,Kitui,kitui-south,
369,Kanziko,kanziko,74,Kitui South,15,Kitui,kitui-south,
370,Athi,athi,74,Kitui South,15,Kitui,kitui-south,
371,Kivaa,kivaa,75,Masinga,16,Machakos,masinga,
372,Masinga Central,masinga-central,75,Masinga,16,Machakos,masinga,
373,Ekalakala,ekalakala,75,Masinga,16,Machakos,masinga,
374,Muthesya,muthesya,75,Masinga,16,Machakos,masinga,
375,Ndithini,ndithini,75,Masinga,16,Machakos,,
376,Ndalani,ndalani,76,Yatta,16,Machakos,yatta,
377,Matuu,matuu,76,Yatta,16,Machakos,yatta,
378,Kithimani,kithimani,76,Yatta,16,Machakos,yatta,
379,Ikombe,ikombe,76,Yatta,16,Machakos,yatta,
380,Katangi,katangi,76,Yatta,16,Machakos,yatta,
381,Kangundo North,kangundo-north,77,Kangundo,16,Machakos,kangundo,
382,Kangundo Central,kangundo-central,77,Kangundo,16,Machakos,kangundo,
383,Kangundo East,kangundo-east,77,Kangundo,16,Machakos,kangundo,
384,Kangundo West,kangundo-west,77,Kangundo,16,Machakos,kangundo,
385,Tala,tala,78,Matungulu,16,Machakos,matungulu,
386,Matungulu North,matungulu-north,78,Matungulu,16,Machakos,matungulu,
387,Matungulu East,matungulu-east,78,Matungulu,16,Machakos,matungulu,
388,Matungulu West,matungulu-west,78,Matungulu,16,Machakos,matungulu,
389,Kyeleni,kyeleni,78,Matungulu,16,Machakos,matungulu,
